direction,model_family,adaptation_method,metric,raw_gap_mean,adaptation_effect_mean,remaining_gap_mean,recovered_fraction_ci_low,recovered_fraction_ci_high,remaining_fraction_ci_low,remaining_fraction_ci_high,n_replicates,n_replicates_ratio_degenerate
manavgat_2021_to_bejis_2022,thermal,regionwise_zscore,pr_auc,0.4446540838002496,0.005426533618681077,0.4392275501815685,0.007273034883976155,0.017596813547263047,0.9824031864527369,0.9927269651160239,1000,0
manavgat_2021_to_bejis_2022,thermal,coral_after_regionwise_zscore,pr_auc,0.4446540838002496,0.007486814949602841,0.4371672688506467,0.01040128848837278,0.02379589946877059,0.9762041005312294,0.9895987115116273,1000,0
manavgat_2021_to_evia_2021_extended,baseline,regionwise_zscore,roc_auc,0.1367355451339839,-0.09269415766562947,0.22942970279961333,-0.9136899156409906,-0.507933204477082,1.5079332044770821,1.9136899156409906,1000,0
manavgat_2021_to_evia_2021_extended,baseline,coral_after_regionwise_zscore,roc_auc,0.1367355451339839,-0.07055273529877279,0.20728828043275666,-0.7323221961101971,-0.3502475120949266,1.3502475120949264,1.7323221961101973,1000,0
manavgat_2021_to_evia_2021_extended,baseline,regionwise_zscore,pr_auc,0.1483094634540562,-0.06151656197670191,0.20982602543075812,-0.6111059024152901,-0.26144616813909916,1.2614461681390992,1.61110590241529,1000,0
manavgat_2021_to_evia_2021_extended,baseline,coral_after_regionwise_zscore,pr_auc,0.1483094634540562,-0.0438469541460548,0.192156417600111,-0.4855182924220465,-0.14727617691841371,1.1472761769184139,1.4855182924220465,1000,0
manavgat_2021_to_evia_2021_extended,thermal,regionwise_zscore,roc_auc,0.25845439181651203,-0.1250240392406073,0.3834784310571193,-0.5560172483918832,-0.41664276790301485,1.4166427679030147,1.556017248391883,1000,0
manavgat_2021_to_evia_2021_extended,thermal,coral_after_regionwise_zscore,roc_auc,0.25845439181651203,-0.1499318074537852,0.4083861992702973,-0.667285899427227,-0.5060524751163614,1.5060524751163615,1.667285899427227,1000,0
manavgat_2021_to_evia_2021_extended,thermal,regionwise_zscore,pr_auc,0.4100727263287585,-0.08677910410771923,0.49685183043647774,-0.2646662194321867,-0.16255977851245773,1.1625597785124577,1.2646662194321867,1000,0
manavgat_2021_to_evia_2021_extended,thermal,coral_after_regionwise_zscore,pr_auc,0.4100727263287585,-0.10339293041849734,0.5134656567472559,-0.3106735764081645,-0.19658482316266207,1.1965848231626621,1.3106735764081645,1000,0
